percent,パー
raptor,ラプター
lapel,ラペル
lavoro,ラボーロ
amarckism,ラマルキズム
runaway,ランナウェイ
ricin,リシン
lithosphere,リソスフェア
italin,リタリン
returner,リターナー
ituxan,リツキサン
literature,リテラチュア
retailer,リテーラー
ritonavir,リトナビル
libre,リーブル
ugol,ルゴール
udus,ルダス
lieutenant,ルテナン
evox,ルボックス
leghorn,レグホン
respirator,レスピレーター
retrospective,レトロスペクティブ
repossessman,レポマン
religion,レリジョン
raking,レーキング
lakeside,レークサイド
ladle,レードル
locator,ロケーター
rowing,ローイング
losier,ロージエ
launch,ラウンチ
identify,アイデンティファイ
aisle,アイル
utarkie,アウタルキー
ouch,アウチ
outperform,アウトパフォーム
uftakt,アウフタクト
accuracy,アキュラシー
aquatic,アクアティック
acceptance,アクセプタンス
actinomycin,アクチノマイシン
acrinol,アクリノール
grobacterium,アグロバクテリウム
ascorbinase,アスコルビナーゼ
hasta,アスタ
astron,アストロン
asp,アスプ
athleticism,アスレティシズム
assemble,アセンブル
addition,アディション
atomos,アトモス
attractor,アトラクター
adonis,アドニス
adobo,アドボ
advocaat,アドボカート
anamorphosis,アナモルフォーシス
anarthria,アナルトリー
anonyme,アノニム
apadravya,アパトラビア
aji,アヒ
aviation,アビエーション
aviator,アビエーター
appetizer,アピタイザー
apocalypse,アポカリプス
apologist,アポロジスト
amylose,アミロース
alight,アライト
argent,アラザン
ricept,アリセプト
aryl,アリール
arthroderma,アルスロデルマ
alpinism,アルピニズム
arbutin,アルブチン
alprazolam,アルプラゾラム
arlequin,アルルカン
lloying,アロイング
allopurinol,アロプリノール
aromatic,アロマティック
ngina,アンギーナ
nseilen,アンザイレン
ngelic,アンジェリック
anthocyan,アントシアン
androgynous,アンドロジナス
unknown,アンノーン
ambient,アンビエント
archaea,アーケア
arbaleste,アーバレスト
mish,アーミッシュ
armory,アーモリー
ikat,イカット
yperite,イペリット
illustrated,イラストレーテッド
eland,イランド
increment,インクリメント
ingot,インゴット
intercontinental,インターコンチ
internationalism,インターナショナリズム
interlock,インターロック
ndacin,インダシン
integrate,インテグレート
indocyanine,インドシアニン
impeller,インペラー
iman,イーマーン
without,ウィズアウト
waistbelt,ウエストベルト
washable,ウォッシャブル
wanna,ウォナ
ulin,ウリン
ursodeoxycholic,ウルソ
expansion,エキスパンション
explosion,エクスプロージョン
eccentricity,エクセントリシティー
ecrevisse,エクルビス
examiner,エグザミナー
escada,エスカーダ
estazoram,エスタゾラム
estimate,エスティメート
espace,エスパス
eggnog,エッグノッグ
enema,エネマ
ebonite,エボナイト
evolte,エボルテ
emulation,エミュレーション
ergosterol,エルゴステロール
ermetismo,エルメティズモ
erecta,エレクタ
ancient,エンシェント
entitle,エンタイトル
entasis,エンタシス
embankment,エンバンクメント
aged,エージド
oxatomide,オキサトミド
oxypentalum,オキシペタラム
oscillator,オシレーター
onanism,オナニズム
onaniehole,オナホール
obtusifolia,オブッシフォリア
oratio,オラショ
orifice,オリフィス
alter,オルター
ornithomimus,オルニトミムス
angstrom,オングストローム
ochre,オーカー
ordering,オーダリング
automat,オートマット
allpaint,オールペン
assia,カシア
kazoo,カズー
cathode,カソード
cupping,カッピング
cadenas,カデナ
kaffiyeh,カフィエ
afiya,カフィヤ
cabochon,カボション
kamerere,カメレレ
alappa,カラッパ
carnevale,カルナバル
cancan,カンカン
canzonetta,カンツォネッタ
kantor,カントル
carbuncle,カーバンクル
calming,カーミング
calm,カーム
eist,ガイスト
gaur,ガウア
alliot,ガリオット
ganciclovir,ガンシクロビル
issling,キスリング
cask,キャスク
carriage,キャリッジ
ueichouphyllum,クエイチョウフィルム
quo,クオ
uore,クオレ
craftsman,クラフトマン
hrysanthemum,クリサンセマム
clinometer,クリノメーター
crinoline,クリノリン
clinker,クリンカー
credenza,クレデンザ
croise,クロイス
reuzer,クロイツァー
clobazam,クロバザム
chromatin,クロマチン
chloride,クロライド
granite,グラニテ
grub,グラブ
glycosyl,グリコシル
gluconate,グルコネート
raded,グレーディッド
grapevine,グレープバイン
glossy,グロッシー
globalist,グローバリスト
cairn,ケルン
ewandhaus,ゲバントハウス
gehenna,ゲヘナ
ewurztraminar,ゲベルツトラミネール
koine,コイネー
costa,コスタ
omuneros,コムネーロス
comune,コムーネ
corazon,コラソン
colada,コラーダ
choriogenin,コリオジェニン
concise,コンサイス
conditionality,コンディショナリティ
confidence,コンフィデンス
convection,コンベクション
coastal,コースタル
coder,コーダー
cortisone,コーチゾン
cooperativehouse,コーハウス
sizing,サイジング
cytosol,サイトゾル
sideout,サイドアウト
subscription,サブスクリプション
salamander,サラマンダー
sartoria,サルトリア
sarvodaya,サルボダヤ
antngelo,サンタンジェロ
surfrider,サーフライダー
seersucker,シアサッカー
cyanoacrylate,シアノアクリレート
haise,シェーズ
cystatin,シスタチン
siciliana,シチリアーナ
sixth,シックスス
sixteen,シックスティーン
sit,シット
shipper,シッパー
citric,シトリック
synaptosome,シナプトソーム
seigniorage,シニョリッジ
signora,シニョーラ
simultaneisme,シミュルタネイスム
chatnoir,シャノワール
shallot,シャロット
chambray,シャンブレー
charlatan,シャーラタン
piegel,シュピーゲル
chmalenbach,シュマーレンバッハ
choucroute,シュークルート
shortbread,ショートブレッド
chauffeur,ショーファー
showmanship,ショーマンシップ
sirena,シレナ
synthase,シンターゼ
diisocyanate,ジイソシアネート
genotype,ジェノタイプ
geoid,ジオイド
jigger,ジガー
distoma,ジストマ
dihydropyridine,ジヒドロピリジン
gibberellin,ジベレリン
etaime,ジュテーム
jobber,ジョバー
ohns,ジョンズ
zircon,ジルコン
diltiazem,ジルチアゼム
sweeper,スイーパー
skiing,スキーイング
scrambled,スクランブルド
scoot,スクート
kepsis,スケプシス
tatice,スターチス
stellar,ステラー
stocker,ストッカー
tock,ストック
stomacher,ストマッカー
strategist,ストラテジスト
strain,ストレイン
snipe,スナイプ
sneak,スニーク
species,スピーシーズ
spry,スプライ
slippy,スリッピー
slingshot,スリングショット
sulfadiazine,スルファジアジン
vezda,ズベズダ
scenic,セニック
senator,セネター
cephamycin,セファマイシン
semester,セメスター
sertoli,セルトリ
selva,セルバ
sensationalism,センセーショナリズム
centennial,センテニアル
semmel,ゼンメル
socio,ソシオ
softcover,ソフトカバー
solita,ソリター
sorter,ソーター
zopiclone,ゾピクロン
zona,ゾーナ
typography,タイポグラフィー
tactical,タクティカル
tuff,タフ
tuft,タフト
tamoxifen,タモキシフェン
talc,タルク
talon,タロン
tandospirone,タンドスピロン
terminate,ターミネート
dire,ダイアー
dilution,ダイリューション
damsite,ダムサイト
darwaza,ダルワザ
dirt,ダート
chesterfield,チェスターフィールド
cervo,チェルボ
celesta,チェレスタ
ticlopidine,チクロピジン
chipping,チッピング
chili,チリ
chill,チル
tyrosinase,チロシナーゼ
yklus,ツィクルス
zeug,ツォイク
tiede,ティエド
teeing,ティーイング
tecoma,テコマ
terpenoid,テルペノイド
telescopic,テレスコピック
telepathist,テレパシスト
telehealth,テレヘルス
telemarketing,テレマーケティング
telemetry,テレメトリー
telomerase,テロメラーゼ
tempering,テンパリング
tapered,テーパード
diem,ディエム
disinformation,ディスインフォメーション
disqualifying,ディスクオリファイング
detector,ディテクター
dito,ディト
differ,ディファー
defending,ディフェンディング
ixie,デキシー
decrescendo,デクレッシェンド
deconstruction,デコンストラクション
decoding,デコーディング
deci,デシ
desperado,デスペラード
desmopressin,デスモプレシン
detachable,デタッチャブル
efcon,デフコン
debris,デブリ
demonstrator,デモンストレーター
twentieth,トゥエンティース
urnen,トゥルネン
tourbillon,トゥールビヨン
topper,トッパー
topoisomerase,トポイソメラーゼ
topological,トポロジカル
triangular,トライアンギュラー
tribology,トライボロジー
rappist,トラピスト
transformation,トランスフォーメーション
triennale,トリエンナーレ
trimebutine,トリメブチン
toluidine,トルイジン
trueno,トレノ
tolerant,トレラント
tropic,トロピック
troncone,トロンコーニ
thrombotest,トロンボテスト
tonus,トーヌス
orada,ドラーダ
drifter,ドリフター
dribbler,ドリブラー
drake,ドレーク
dosha,ドーシャ
dautomn,ドートンヌ
ninth,ナインス
naloxone,ナロキソン
nangka,ナンカ
nitrocellulose,ニトロセルロース
pneumocystis,ニューモシスティス
nudist,ヌーディスト
nutria,ヌートリア
neoclassicism,ネオクラシシズム
eoplatonism,ネオプラトニズム
nectarine,ネクタリン
egroid,ネグロイド
ephilim,ネフィリム
nonion,ノニオン
notice,ノーティス
hydrangea,ハイドランジア
highpass,ハイパス
hind,ハインド
halakhah,ハラカ
allenkirche,ハレンキルヘ
alothane,ハロタン
fumble,ハンブル
halftone,ハーフトーン
harvester,ハーベスター
violent,バイオレント
bicultural,バイカルチャル
viper,バイパー
bout,バウト
bouncing,バウンシング
baggage,バゲージ
basculante,バスクランテ
asthi,バスティー
bassdrum,バスドラ
batiste,バチスト
baryta,バライタ
burr,バリ
bulky,バルキー
vardenafil,バルデナフィル
barosaurus,バロサウルス
vanguard,バンガード
berth,バース
urmese,バーミーズ
pilder,パイルダー
paulista,パウリスタ
pastrami,パストラミ
pastoral,パストラル
paternalistic,パターナリスティック
punisher,パニッシャー
pamor,パモール
parametric,パラメトリック
parallax,パララックス
panpipes,パンパイプ
purpose,パーパス
humanistic,ヒューマニスティック
bialaphos,ビアラホス
viande,ビアンド
viyella,ビエラ
viole,ビオール
beguine,ビギン
islama,ビスラマ
vivant,ビバン
vif,ビフ
believer,ビリーバー
vinca,ビンカ
vincristine,ビンクリスチン
beastie,ビースティー
beatnik,ビートニク
piatto,ピアット
piezo,ピエゾ
itahaya,ピタヤ
pittori,ピトリ
pina,ピニャ
physis,ピュシス
pugilistica,ピュージリスティカ
peapod,ピーポッド
faille,ファイユ
pharmacy,ファーマシー
fixing,フィキシング
fifteen,フィフティーンス
fibril,フィブリル
euilletage,フィユタージュ
feuilletine,フィユティーヌ
phylloxera,フィロキセラ
feijoada,フェージョアーダ
phenylbutazone,フェニルブタゾン
phenotype,フェノタイプ
phenology,フェノロジー
feria,フェリア
feerie,フェリエ
ferryboat,フェリーボート
phaeton,フェートン
fable,フェーブル
faire,フェール
forex,フォレックス
hussar,フザール
fuchsia,フューシャ
flutist,フルーティスト
reude,フロイデ
frosty,フロスティー
frottage,フロッタージュ
uynuiy,ブイヌイ
butyrophenone,ブチロフェノン
blush,ブラッシュ
breathing,ブリージング
ruschetta,ブルスケッタ
boulangerie,ブーランジェリー
pusher,プッシャー
plesetan,プレセタン
pressing,プレッシング
playboy,プレーボーイ
planing,プレーニング
ploy,プロイ
processing,プロセシング
prosecco,プロセッコ
plotter,プロッター
protoplast,プロトプラスト
probit,プロビット
providence,プロビデンス
heterodimer,ヘテロダイマー
ebraism,ヘブライズム
hemophilia,ヘモフィリア
helicoid,ヘリコイド
heliconia,ヘリコニア
ayesian,ベイジアン
vesicle,ベシクル
vellum,ベラム
belles,ベリエス
belcanto,ベルカント
verseau,ベルソー
benzalkonium,ベンザルコニウム
benzidine,ベンジジン
pedesral,ペデスタル
peroxisome,ペルオキシソーム
percheron,ペルシュロン
perospirone,ペロスピロン
pager,ページャー
hoist,ホイスト
hospitalism,ホスピタリズム
honu,ホヌ
honing,ホーニング
vocoder,ボコーダー
voltammetry,ボルタンメトリー
bonbonniere,ボンボニエール
bowing,ボーイング
posiresist,ポジレジスト
posterior,ポステリア
pomato,ポマト
polyclinic,ポリクリニック
polishing,ポリッシング
poison,ポワゾン
pontoon,ポンツーン
pomponette,ポンポネット
pollo,ポーヨー
poling,ポーリング
pollen,ポーレン
microsurgery,マイクロサージェリー
magasin,マガザン
machinist,マシニスト
azia,マジア
matic,マチック
masher,マッシャー
manna,マナ
aharani,マハラニ
mahalo,マハロ
maprotiline,マプロチリン
malachite,マラカイト
arranos,マラーノ
multichannel,マルチチャネル
multiplex,マルチプレックス
mantel,マンテル
andrake,マンドレーク
mercantile,マーカンタイル
marbling,マーブリング
mianserin,ミアンセリン
myeloma,ミエローマ
miconazole,ミコナゾール
misery,ミザリー
minicycle,ミニサイクル
mutation,ミューテーション
myrrha,ミルラ
meerkat,ミーアキャット
mesyl,メシル
etrik,メトリック
menaquinone,メナキノン
menstruation,メンストルエーション
moire,モアレ
monopolar,モノポーラー
mobilier,モビリエ
moped,モペッド
morin,モリン
mollie,モーリー
mogol,モール
yardstick,ヤードスティック
yourself,ユアセルフ
unite,ユナイト
heureka,ユリイカ
odoform,ヨードホルム
liar,ライアー
loudspeaker,ラウドスピーカー
larkspur,ラクスパー
lactoferrin,ラクトフェリン
rag,ラグ
agdoll,ラグドール
rascal,ラスカル
lapageria,ラパゲリア
afflesia,ラフレシア
langra,ラングラー
ancho,ランチョ
rambutan,ランブータン
ligature,リガチャー
recourse,リコース
resortcasino,リゾカジ
retainer,リテーナー
ritornello,リトルネッロ
riverain,リバレイン
reversi,リバーシ
refinance,リファイナンス
rifampicin,リファンピシン
reflow,リフロー
liminality,リミナリティー
remember,リメンバー
imoncello,リモンチェッロ
riyal,リヤール
relative,リラティブ
leek,リーキ
lethal,リーサル
leaving,リービング
leap,リープ
iebe,リーベ
rugiada,ルジアダ
rubashka,ルバシカ
later,レイター
equios,レキオス
redox,レドックス
recht,レヒト
levomepromazine,レボメプロマジン
reporting,レポーティング
lenten,レンテン
racism,レーシズム
rhema,レーマ
loin,ロイン
locanda,ロカンダ
rosin,ロジン
robust,ロバスト
oborovskii,ロボロフスキー
lowbrow,ローブロー
wand,ワンド
icy,アイシー
ine,アイネ
aus,アウス
austral,アウストラル
aulos,アウロス
akathisia,アカシジア
aqualung,アクアラング
axon,アクソン
activist,アクティビスト
activator,アクティベーター
acridine,アクリジン
assiette,アシェット
asha,アシャ
ajuga,アジュガ
djuvant,アジュバント
asteroid,アステロイド
astringent,アストリンゼン
aceto,アセト
acetanilide,アセトアニリド
ssociation,アソシアシオン
achar,アチャール
atm,アトム
anamorphic,アナモフィック
avalanche,アバランチ
appearance,アピアランス
apheresis,アフェレーシス
affordance,アフォーダンス
ptos,アプトス
apnomonitor,アプノモニター
apply,アプライ
amitriptyline,アミトリプチリン
minoleban,アミノレバン
alcazar,アルカサル
rgand,アルガン
lkylbenzene,アルキルベンゼン
alkyne,アルキン
arkhe,アルケー
llgemeine,アルゲマイネ
ldrin,アルドリン
aldose,アルドース
rbekacin,アルベカシン
alexithymic,アレキシサイミック
allopathic,アロパシー
alors,アロール
angiography,アンジオグラフィー
nglican,アングリカン
ngraecum,アングレクム
underachiever,アンダーアチーバー
enfant,アンファン
angeles,アンヘレス
iconographie,イコノグラフィー
eject,イジェクト
isopropanol,イソプロパノール
idant,イダント
ideologisch,イデオロギッシュ
inositol,イノシトール
imipramine,イミプラミン
immunization,イミュナイゼーション
ressa,イレッサ
rreelle,イレール
inn,フィン
incorporated,インコーポレーテッド
insulator,インシュレーター
institutional,インスティチューショナル
instinct,インスティンクト
interoperability,インターオペラビリティー
intercourse,インターコース
intuit,インチュイット
intensifier,インテンシファイアー
indexing,インデキシング
infiorata,インフィオラータ
influence,インフルエンス
implication,インプリケーション
imprinting,インプリンティング
improviser,インプロバイザー
investigation,インベスティゲーション
witness,ウィットネス
weep,ウィープ
whisker,ウイスカー
elsh,ウェルシュ
washing,ウォッシング
uvala,ウバーレ
urushiol,ウルシオール
urochrome,ウロクロム
airedale,エアデール
eighth,エイス
usthenopteron,エウステノプテロン
extranet,エキストラネット
exon,エキソン
exceed,エクシード
exponent,エクスポーネント
excess,エクセス
exact,エグザクト
estrone,エストロン
ethnomethodology,エスノメソドロジー
ethinyl,エチニル
ete,エテ
epigallocatechin,エピガロカテキン
epigraph,エピグラフ
pidendrum,エピデンドラム
everybody,エブリボディ
ebony,エボニー
emo,エモ
elastomer,エラストマー
aliasing,エリアジング
erinacine,エリナシン
ergometer,エルゴメーター
aileron,エルロン
enthusiast,エンスージャスト
enduro,エンデューロ
endrin,エンドリン
enhanced,エンハンスド
empanada,エンパナーダ
oiled,オイルド
occultist,オカルティスト
occultism,オカルティズム
occupied,オキュパイド
occupation,オキュペーション
octylphenol,オクチルフェノール
occlusion,オクルージョン
ostia,オスチヤ
otto,オット
obligation,オブリゲーション
optimistic,オプティミスティック
opportunist,オポチュニスト
opportunity,オポチュニティー
opossum,オポッサム
oligomer,オリゴマー
orcein,オルセイン
alternate,オルタネート
ostrich,オストリッチ
audiovisual,オーディオビジュアル
autocrine,オートクリン
autoclave,オートクレーブ
automatisme,オートマティスム
automotive,オートモーティブ
overthrow,オーバースロー
older,オールダー
cauda,カウダ
castaneus,カスタネウス
catastatic,カタスタティック
kapalua,カパルア
appuccini,カプチン
caritas,カリタス
culturalism,カルチュラリズム
carnet,カルネ
almic,カルミア
currants,カレンツ
cantina,カンティーナ
conversation,カンバセーション
qanun,カーヌーン
curvy,カービー
carmine,カーマイン
gauss,ガウス
goddamnit,ガッデム
gadogado,ガドガド
governability,ガバナビリティー
algenhumor,ガルゲンフモール
gauntlet,ガントレット
garnish,ガーニッシュ
garment,ガーメント
kithara,キタラ
kippa,キッパー
quinidine,キニジン
inasthese,キネステーゼ
cabagin,キャベジン
caravansary,キャラバンサライ
calibration,キャリブレーション
cupra,キュプラ
cyrtorchis,キルトルキス
kindle,キンドル
keypuncher,キーパンチャー
galactica,ギャラクティカ
quill,クイル
uon,クオン
quarterly,クオータリー
quarteback,クオーターバック
crowning,クラウニング
clustering,クラスタリング
classroom,クラスルーム
clavichord,クラビコード
cryostat,クリオスタット
cleanup,クリーンナップ
cruel,クルーエル
cruller,クルーラー
laymore,クレイモア
leome,クレオメ
lezmatic,クレズマティック
cleanse,クレンズ
clochette,クロシェット
lonidine,クロニジン
chronometer,クロノメーター
chronological,クロノロジカル
chromatic,クロマチック
chromatron,クロマトロン
clomipramine,クロミプラミン
hlordiazepoxide,クロルジアゼポキシド
hlorpyrifos,クロルピリホス
chlorpheniramine,クロルフェニラミン
chlormadinone,クロルマジノン
guanaco,グアナコ
razie,グラチエ
glut,グラット
granola,グラノラ
grumpy,グランピー
goulash,グーラッシュ
glyceraldehyde,グリセルアルデヒド
glissando,グリッサンド
gourmand,グルマン
glossary,グロッサリー
loriosa,グロリオーサ
grove,グローブ
grommes,グロームス
grown,グローン
ajan,ケイジャン
cuesta,ケスタ
ketamine,ケタミン
ells,ケルズ
cater,ケーター
gainer,ゲイナー
germanistik,ゲルマニスティク
etup,ゲロッパ
gentamicin,ゲンタマイシン
costus,コストゥス
cochineal,コチニール
comedical,コメディカル
collagenase,コラゲナーゼ
cholanic,コラン
colchicum,コルチカム
korma,コルマ
colombo,コロンボ
concurrent,コンカレント
conquer,コンカー
conquest,コンクエスト
consummatory,コンサマトリー
consultative,コンサルタティブ
concentration,コンセントレーション
contagium,コンタギウム
contrapposto,コントラポスト
combinatorial,コンビナトリアル
conformation,コンフォメーション
confort,コンフォール
comfrey,コンフリー
competitor,コンペティター
coated,コーテッド
cooperative,コーポラティブ
cornmeal,コーンミール
orgosaurus,ゴルゴサウルス
goaltending,ゴールテンディング
saan,サアン
psychological,サイコロジカル
silage,サイレージ
sastrugi,サスツルギ
suspects,サスペクツ
sonny,サニー
samarium,サマリウム
salute,サルーテ
thanksgiving,サンクスギビング
syndicalism,サンディカリズム
sunfish,サンフィッシュ
searcher,サーチャー
servant,サーバント
saama,サーマ
auerbraten,ザワーブラーテン
sandman,ザントマン
cichlid,シクリッド
shekel,シケル
citrulline,シトルリン
sinology,シノロジー
ciboulette,シブレット
haheen,シャヒーン
tadtfriedhof,シュタットフリートホフ
trasse,シュトラッセ
superieur,シュペリュール
shrew,シュルー
schoffeleers,ショフレールス
chausses,ショース
shortcake,ショートケーキ
sileighty,シルエイティー
synchrotron,シンクロトロン
synthroid,シンスロイド
scintigram,シンチグラム
simply,シンプリー
symmetrical,シンメトリカル
sheepdog,シープドッグ
serow,シーロー
seen,シーン
esuit,ジェスイット
genetic,ジェネティック
diethylamide,ジエチルアミド
iketopiperazine,ジケトピペラジン
gitan,ジタン
zippy,ジッピー
dihydrocodeine,ジヒドロコデイン
diphenhydramine,ジフェンヒドラミン
jeepney,ジプニー
dibenzo,ジベンゾ
acaranda,ジャカランダ
jacker,ジャッカー
juniorette,ジュニオレット
juvenile,ジュブナイル
jodhpur,ジョッパー
giorgina,ジョルジーナ
giglio,ジリオ
gilet,ジレー
svedana,スウェダナ
wedish,スウェディッシュ
swell,スウェル
skit,スキット
skiwear,スキーウエア
scrabble,スクラブル
squad,スクワッド
sketcher,スケッチャー
standup,スタンダップ
starry,スターリー
steamer,スチーマー
structuring,ストラクチャリング
tracciatella,ストラチャテッラ
stravagant,ストラバガント
storico,ストリコ
strangeness,ストレンジネス
stranger,ストレンジャー
snem,スニエム
spirometer,スパイロメーター
spasibo,スパシーボ
sputtering,スパッタリング
sparking,スパーキング
spinor,スピノール
spirituality,スピリチュアリティー
spectrumanalyzer,スペアナ
sporothrix,スポロトリックス
spoken,スポークン
slat,スラット
sleeveless,スリーブレス
sulfonyl,スルホニル
threshold,スレッショルド
swallowtail,スワローテール
swamp,スワンプ
zoomer,ズーマー
zurkhaneh,ズールハーネ
sacred,セイクリッド
sextet,セクステット
sesamin,セサミン
septin,セプチン
emitism,セミティズム
serrano,セラーノ
cerium,セリウム
selfmedication,セルフメディケーション
centric,セントリック
send,センド
ceja,セーハ
soca,ソカ
sostenuto,ソステヌート
sobriety,ソブラエティー
soprani,ソプラーニ
solamente,ソラメンテ
solifluction,ソリフラクション
sorbitol,ソルビトール
solvency,ソルベンシー
solea,ソレア
olaism,ゾライズム
tiepin,タイピン
thyme,タイム
aoist,タオイスト
axotere,タキソテール
tacrolimus,タクロリムス
tuck,タック
tehina,タヒーナ
tablao,タブラオ
tuple,タプル
tamarind,タマリンド
taramosalata,タラモサラタ
tariff,タリフ
tanning,タンニング
ageszeitung,ターゲスツァイトゥング
ianthus,ダイアンサス
daiquiri,ダイキリ
divertor,ダイバーター
dahabeah,ダハビヤ
davit,ダビット
damson,ダムゾン
dargent,ダルジャン
danapati,ダンオツ
hionodoxa,チオノドクサ
thixotropy,チキソトロピー
tickler,チクラー
chicle,チクル
titallium,チタリウム
chipper,チッパー
csardas,チャルダッシュ
chartered,チャータード
inzano,チンザノ
chinspoiler,チンスポ
eit,ツァイト
eitgeist,ツァイトガイスト
unft,ツンフト
teardrop,ティアドロップ
typical,ティピカル
tint,ティント
tipo,ティーポ
theobroma,テオブロマ
theoria,テオリア
techniques,テクニクス
tete,テット
tetrahydrocannabinol,テトラヒドロカンナビノール
tephra,テフラ
terazzo,テラゾ
terrarium,テラリウム
temporary,テンポラリー
taker,テーカー
deer,ディアー
disease,ディジーズ
disinflation,ディスデフレ
dispersion,ディスパージョン
dispensary,ディスペンサリー
determination,ディターミネーション
dipper,ディッパー
divertissement,ディベルティスマン
delayed,ディレード
decoupling,デカップリング
decorater,デコレーター
despachante,デスパシャンチ
despun,デスパン
despot,デスポット
delle,デッレ
detonation,デトネーション
imorphotheca,デモルフォセカ
deliver,デリバー
derringer,デリンジャー
elrin,デルリン
travertine,トラバーチン
transducer,トランスデューサ
transposon,トランスポゾン
troy,トロイ
trochoid,トロコイド
trotter,トロッター
troppo,トロッポ
thomaskantor,トーマスカントル
ucale,ドゥカーレ
ogmatyl,ドグマチール
dobutamine,ドブタミン
dryad,ドライアード
dolmen,ドルメン
dressmaker,ドレスメーカー
dopant,ドーパント
dormer,ドーマー
dormie,ドーミー
naira,ナイラ
naphthoquinone,ナフトキノン
nearly,ニアリー
iob,ニオブ
knickerbocker,ニッカーボッカー
knitter,ニッター
ipponia,ニッポニア
nifedipine,ニフェジピン
ingle,ニングル
nucleosome,ヌクレオソーム
neuf,ヌフ
neoteny,ネオテニー
eoprene,ネオプレン
necrosis,ネクローシス
negotiator,ネゴシエーター
nephelometry,ネフェロメトリー
nematic,ネマティック
emophila,ネモフィラ
neben,ネーベン
noisy,ノイジー
knotting,ノッティング
nobile,ノビレ
novella,ノベッラ
nomad,ノマド
nocontrol,ノーコン
highcompression,ハイコンプ
hybridoma,ハイブリドーマ
highlander,ハイランダー
hadron,ハドロン
hapten,ハプテン
haplotype,ハプロタイプ
khorosho,ハラショー
aram,ハラーム
halibut,ハリバット
halfback,ハーフバック
haben,ハーベン
biathlon,バイアスロン
biomechanics,バイオメカニクス
biology,バイオロジー
bagong,バゴン
battered,バタード
backed,バックト
backward,バックワード
baffy,バフィー
ariscan,バリスカン
barbary,バルバリー
barbaroi,バルバロイ
baroness,バロネス
banshee,バンシー
vamp,バンプ
virginal,バージナル
vertigo,バーティゴ
bagna,バーニャ
bharata,バーラタ
pazza,パッツァ
paten,パテナ
aniolo,パニオロ
panopticon,パノプティコン
papaverine,パパベリン
papilloma,パピローマ
publicist,パブリシスト
amela,パミラ
palaistra,パライストラ
paradigmatic,パラディグマティック
palmette,パルメット
anzerbuchsen,パンツァービュクセ
panha,パンヤ
peroxide,パーオキサイド
parchment,パーチメント
perforation,パーフォレーション
purplish,パープリッシュ
hysteresis,ヒステリシス
hydroxytryptophan,ヒドロキシトリプトファン
hydroquinone,ヒドロキノン
hypnotherapy,ヒプノセラピー
khilafat,ヒラーファト
isualift,ビジュアリフト
bistecca,ビステッカ
vibraphone,ビブラフォン
ideonideout,ビボ
virago,ビラーゴ
billionaire,ビリオネア
bilge,ビルジ
piastre,ピアストル
piena,ピエナ
ithiviers,ピティビエ
pyrroline,ピロリン
finalist,ファイナリスト
faculty,ファカルティー
fuzz,ファズ
fathom,ファゾム
fabliau,ファブリオ
favorita,ファボリータ
favor,ファボール
famotidine,ファモチジン
fandango,ファンダンゴ
pharma,ファーマ
harmacovigilance,ファーマコビジランス
fixed,フィックスト
filled,フィルド
filmography,フィルモグラフィー
feast,フィースト
fielder,フィールダー
facening,フェイスニング
pheophorbide,フェオフォーバイド
feta,フェタ
fetish,フェティッシュ
fenugreek,フェヌグリーク
fencer,フェンサー
fading,フェーディング
forwarder,フォワーダー
fougueux,フグー
fusta,フスタ
usulina,フズリナ
hooker,フッカー
humulone,フムロン
umor,フモール
flavanone,フラバノン
flavonol,フラボノール
frequency,フリークエンシー
luorouracil,フルオロウラシル
freccia,フレッチャ
frere,フレール
whos,フーズ
footing,フーチング
bridle,ブライドル
brasserie,ブラッスリー
ludgers,ブラッジャー
blanchir,ブランシール
bullwhip,ブルウイップ
veloute,ブルーテ
blumenblatt,ブルーメンブラット
bleb,ブレブ
bromvalerylurea,ブロムワレリル
bromelain,ブロメライン
vous,ブー
oulangerie,ブーランジュリー
pterin,プテリン
pneuma,プネウマ
praxis,プラクシス
pragmatist,プラグマティスト
plasmon,プラズモン
platonism,プラトニズム
pravastatin,プラバスタチン
plexus,プレクサス
presto,プレスト
raesepe,プレセペ
prefix,プレフィックス
rostal,プロスタール
prosody,プロソディー
proton,プロトン
propagandist,プロパガンディスト
probenecid,プロベネシド
promethazine,プロメタジン
hedgehog,ヘッジホッグ
hedonic,ヘドニック
henry,ヘンリー
bentazone,ベンタゾン
benthos,ベントス
weg,ベーク
baiser,ベーゼ
vane,ベーン
pagan,ペイガン
paysan,ペイザン
petal,ペタル
elargonium,ペラルゴニウム
entas,ペンタス
whaler,ホエラー
okunalin,ホクナリン
hotspur,ホットスパー
vomica,ホミカ
vocalise,ボカリーズ
osmin,ボスミン
vol,ボル
uongiorno,ボンジョルノ
postcolonialism,ポストコロニアリズム
popping,ポッピング
polyoxyethylene,ポリオキシエチレン
polyolefin,ポリオレフィン
porridge,ポリッジ
portamento,ポルタメント
porcellana,ポルチェラーナ
poireau,ポワロー
poissonniere,ポワソニエール
boite,ポワット
ikey,マイキー
mitomycin,マイトマイシン
minesweeper,マインスイーパー
muskrat,マスクラット
asonic,マソニック
matador,マタドール
machismo,マチズモ
macchina,マッキナ
materialism,マテリアリズム
managerial,マネジリアル
multiplexer,マルチプレクサー
multilateral,マルチラテラル
